name,accuracy,roc_auc,log_loss
XGBoost (Optuna),0.6547659144493095,0.7224861688919866,0.6087018554001764
LightGBM (Optuna),0.6547659144493095,0.720075254296356,0.6108437723343013
Blend (w=0.5),0.6524082182553048,0.7218504280020039,0.6091949634170821
